card_type,row,col,layout
trees,0,0,whole
trees,0,1,whole
trees,0,2,whole
trees,0,3,whole
trees,0,4,whole
trees,1,0,whole
trees,1,1,whole
trees,1,2,whole
trees,1,3,discard
trees,1,4,discard
trees,2,0,discard
trees,2,1,discard
trees,2,2,discard
trees,2,3,discard
trees,2,4,discard
trees,3,0,discard
trees,3,1,discard
trees,3,2,discard
trees,3,3,discard
trees,3,4,discard
trees,4,0,discard
trees,4,1,discard
trees,4,2,discard
trees,4,3,discard
trees,4,4,discard
hCards,0,0,horizontal
hCards,0,1,horizontal
hCards,0,2,horizontal
hCards,0,3,horizontal
hCards,0,4,horizontal
hCards,0,5,horizontal
hCards,0,6,horizontal
hCards,1,0,horizontal
hCards,1,1,horizontal
hCards,1,2,horizontal
hCards,1,3,horizontal
hCards,1,4,horizontal
hCards,1,5,horizontal
hCards,1,6,horizontal
hCards,2,0,horizontal
hCards,2,1,horizontal
hCards,2,2,horizontal
hCards,2,3,horizontal
hCards,2,4,horizontal
hCards,2,5,horizontal
hCards,2,6,horizontal
hCards,3,0,horizontal
hCards,3,1,horizontal
hCards,3,2,horizontal
hCards,3,3,horizontal
hCards,3,4,horizontal
hCards,3,5,horizontal
hCards,3,6,horizontal
hCards,4,0,horizontal
hCards,4,1,horizontal
hCards,4,2,horizontal
hCards,4,3,horizontal
hCards,4,4,horizontal
hCards,4,5,horizontal
hCards,4,6,horizontal
hCards,5,0,horizontal
hCards,5,1,horizontal
hCards,5,2,horizontal
hCards,5,3,horizontal
hCards,5,4,horizontal
hCards,5,5,horizontal
hCards,5,6,horizontal
hCards,6,0,horizontal
hCards,6,1,horizontal
hCards,6,2,discard
hCards,6,3,discard
hCards,6,4,discard
hCards,6,5,discard
hCards,6,6,discard
vCards,0,0,vertical
vCards,0,1,vertical
vCards,0,2,vertical
vCards,0,3,vertical
vCards,0,4,vertical
vCards,0,5,vertical
vCards,0,6,vertical
vCards,1,0,vertical
vCards,1,1,vertical
vCards,1,2,vertical
vCards,1,3,vertical
vCards,1,4,vertical
vCards,1,5,vertical
vCards,1,6,vertical
vCards,2,0,vertical
vCards,2,1,vertical
vCards,2,2,vertical
vCards,2,3,vertical
vCards,2,4,vertical
vCards,2,5,vertical
vCards,2,6,vertical
vCards,3,0,vertical
vCards,3,1,vertical
vCards,3,2,vertical
vCards,3,3,vertical
vCards,3,4,vertical
vCards,3,5,vertical
vCards,3,6,vertical
vCards,4,0,vertical
vCards,4,1,vertical
vCards,4,2,vertical
vCards,4,3,vertical
vCards,4,4,vertical
vCards,4,5,vertical
vCards,4,6,vertical
vCards,5,0,vertical
vCards,5,1,vertical
vCards,5,2,vertical
vCards,5,3,vertical
vCards,5,4,vertical
vCards,5,5,vertical
vCards,5,6,vertical
vCards,6,0,vertical
vCards,6,1,vertical
vCards,6,2,vertical
vCards,6,3,vertical
vCards,6,4,vertical
vCards,6,5,vertical
vCards,6,6,whole
mountain,0,0,whole
mountain,0,1,whole
mountain,0,2,horizontal
mountain,0,3,horizontal
mountain,0,4,horizontal
mountain,0,5,horizontal
mountain,0,6,horizontal
mountain,1,0,horizontal
mountain,1,1,horizontal
mountain,1,2,horizontal
mountain,1,3,horizontal
mountain,1,4,vertical
mountain,1,5,vertical
mountain,1,6,vertical
mountain,2,0,vertical
mountain,2,1,vertical
mountain,2,2,vertical
mountain,2,3,vertical
mountain,2,4,vertical
mountain,2,5,vertical
mountain,2,6,vertical
mountain,3,0,vertical
mountain,3,1,vertical
mountain,3,2,horizontal
mountain,3,3,discard
mountain,3,4,discard
mountain,3,5,discard
mountain,3,6,discard
woodlands,0,0,whole
woodlands,0,1,whole
woodlands,0,2,whole
woodlands,0,3,whole
woodlands,0,4,whole
woodlands,0,5,whole
woodlands,1,0,whole
woodlands,1,1,whole
woodlands,1,2,whole
woodlands,1,3,whole
woodlands,1,4,whole
woodlands,1,5,whole
woodlands,2,0,vertical
woodlands,2,1,vertical
woodlands,2,2,vertical
woodlands,2,3,vertical
woodlands,2,4,vertical
woodlands,2,5,vertical
woodlands,3,0,vertical
woodlands,3,1,vertical
woodlands,3,2,vertical
woodlands,3,3,vertical
woodlands,3,4,vertical
woodlands,3,5,vertical
woodlands,4,0,horizontal
woodlands,4,1,horizontal
woodlands,4,2,horizontal
woodlands,4,3,horizontal
woodlands,4,4,horizontal
woodlands,4,5,horizontal
woodlands,5,0,horizontal
woodlands,5,1,horizontal
woodlands,5,2,horizontal
woodlands,5,3,horizontal
woodlands,5,4,horizontal
woodlands,5,5,horizontal
